---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 20-4  2.936e+02  [-72 2.272e-04 1.977e-04 8.264e-02]  !2550 0 96!
 ST 20-5  2.970e+02  [-93 2.009e-05 1.748e-05 9.061e-02]  !2550 0 96!
 ST 21-1  3.003e+02  [0 1.000e+00 6.600e-01 4.349e-03]  !2550 0 95!
 ST 21-2  3.036e+02  [-19 1.057e-01 6.976e-02 8.079e-03]  !2550 0 96!
 ST 21-3  3.069e+02  [-51 2.665e-03 1.759e-03 4.833e-02]  !2550 0 96!
 ST 21-4  3.102e+02  [-74 1.838e-04 1.213e-04 7.284e-02]  !2550 0 94!
 ST 21-5  3.136e+02  [-97 1.383e-05 9.125e-06 9.803e-02]  !2550 0 96!
 ST 22-1  3.169e+02  [0 1.000e+00 7.032e-01 3.437e-03]  !2550 0 96!
 ST 22-2  3.203e+02  [-23 6.394e-02 4.497e-02 9.835e-03]  !2550 0 94!
 ST 22-3  3.236e+02  [-55 1.747e-03 1.229e-03 4.176e-02]  !2550 0 96!
 ST 22-4  3.270e+02  [-79 1.112e-04 7.818e-05 8.211e-02]  !2550 0 96!
 ST 23-1  3.304e+02  [0 1.000e+00 8.534e-01 2.556e-03]  !2550 0 94!
 ST 23-2  3.337e+02  [-26 4.617e-02 3.940e-02 1.223e-02]  !2550 0 96!
 ST 23-3  3.371e+02  [-56 1.525e-03 1.301e-03 5.868e-02]  !2550 0 96!
 ST 23-4  3.405e+02  [-77 1.399e-04 1.194e-04 7.169e-02]  !2550 0 96!
 ST 23-5  3.439e+02  [-99 1.059e-05 9.034e-06 1.058e-01]  !2550 0 96!
 ST 24-1  3.473e+02  [0 1.000e+00 4.604e-01 6.198e-03]  !2550 0 94!
 ST 24-2  3.508e+02  [-17 1.271e-01 5.852e-02 8.374e-03]  !2550 0 95!
 ST 24-3  3.551e+02  [-46 4.654e-03 2.142e-03 2.810e-02]  !2550 0 96!
 ST 24-4  3.591e+02  [-72 2.354e-04 1.084e-04 6.635e-02]  !2550 0 97!
 ST 24-5  3.627e+02  [-95 1.596e-05 7.347e-06 1.161e-01]  !2550 0 96!
 ST 25-1  3.663e+02  [0 1.000e+00 4.762e-01 5.412e-03]  !2550 0 96!
 ST 25-2  3.701e+02  [-21 8.625e-02 4.108e-02 1.271e-02]  !2550 0 95!
 ST 25-3  3.747e+02  [-50 3.123e-03 1.487e-03 4.694e-02]  !2550 0 97!
 ST 25-4  3.788e+02  [-73 2.121e-04 1.010e-04 8.121e-02]  !2550 0 97!
 ST 25-5  3.834e+02  [-95 1.745e-05 8.311e-06 1.179e-01]  !2550 0 96!
 ST 26-1  3.873e+02  [0 1.000e+00 7.916e-01 3.382e-03]  !2550 0 94!
 ST 26-2  3.909e+02  [-28 3.851e-02 3.049e-02 2.004e-02]  !2550 0 96!
 ST 26-3  3.951e+02  [-54 1.834e-03 1.452e-03 5.462e-02]  !2550 0 97!
 ST 26-4  3.988e+02  [-75 1.736e-04 1.374e-04 8.043e-02]  !2550 0 96!
 ST 26-5  4.025e+02  [-96 1.419e-05 1.124e-05 1.380e-01]  !2550 0 96!
 ST 27-1  4.060e+02  [0 1.000e+00 3.926e-01 7.892e-03]  !2550 0 96!
 ST 27-2  4.096e+02  [-16 1.489e-01 5.843e-02 1.123e-02]  !2550 0 96!
 ST 27-3  4.135e+02  [-45 5.254e-03 2.062e-03 4.668e-02]  !2550 0 95!
